"fileID,f1,f2,vot,notes"
bi02_kaka,780.78,1573.11,27.86,
bi02_kaka1,784.62,1536.94,32.47,
bi02_kaka2,547.93,1502.44,30.94,
bi02_keke,466.73,2217.77,21.65,
bi02_keke1,464.26,2341.36,24.33,
bi02_keke2,536.91,2273.04,18.06,
bi02_kiki,335.92,2619.87,36.26,
bi02_kiki1,347.86,2700.43,27.00,
bi02_kiki2,337.76,2610.43,17.49,
bi02_koko,616.85,990.75,39.72,
bi02_koko1,599.73,969.88,30.70,
bi02_koko2,487.24,878.97,42.40,
bi02_kuku,471.79,910.72,43.46,
bi02_kuku1,467.63,917.79,41.76,
bi02_kuku2,310.12,763.44,30.77,
bi02_paka,804.69,1633.61,8.90,
bi02_paka1,726.90,1475.42,13.93,
bi02_paka2,673.30,1626.28,15.62,
bi02_peke,497.95,2255.28,24.46,
bi02_peke1,459.03,2363.10,24.40,
bi02_peke2,485.38,2329.44,31.49,
bi02_piki,355.95,1695.52,28.23,
bi02_piki1,284.48,2683.17,21.98,
bi02_piki2,566.24,2680.31,28.62,
bi02_poko,581.51,919.15,23.85,
bi02_poko1,574.37,943.40,18.18,
bi02_poko2,568.12,1058.67,24.97,
bi02_puku,506.76,899.72,28.80,
bi02_puku1,461.68,861.57,18.69,
bi02_puku2,423.38,814.88,29.22,
bi02_taka,817.83,1545.86,31.62,
bi02_taka1,728.39,1535.10,17.86,
bi02_taka2,532.93,1452.27,23.66,
bi02_teke,526.61,2210.47,21.48,
bi02_teke1,464.32,2348.98,31.33,
bi02_teke2,435.82,997.20,19.13,
bi02_tiki,647.29,2394.14,22.96,
bi02_tiki1,346.49,2742.84,19.61,
bi02_tiki2,429.56,1385.29,58.09,
bi02_toko,496.16,885.90,14.61,
bi02_toko1,556.52,965.45,17.04,
bi02_toko2,608.40,1002.92,17.68,
bi02_tuku,472.93,963.88,23.14,
bi02_tuku1,466.29,932.93,16.95,
bi02_tuku2,512.42,852.87,16.48,
