"fileID,f1,f2,vot,notes"
ne03_kaka,781.67,1797.29,37.85,
ne03_kaka1,820.48,1718.50,36.85,
ne03_kaka2,881.55,1591.62,40.61,
ne03_keke,620.96,2639.70,34.56,
ne03_keke1,568.29,1773.11,31.44,
ne03_keke2,562.23,2536.78,41.34,
ne03_kiki,511.98,2716.19,40.94,
ne03_kiki1,413.03,1994.50,78.32,
ne03_kiki2,372.66,2792.08,67.23,
ne03_koko,509.33,1070.57,54.10,
ne03_koko1,582.18,1215.45,33.65,
ne03_koko2,572.17,1092.15,41.03,
ne03_kuku,516.33,990.11,55.01,
ne03_kuku1,466.97,1071.91,62.01,
ne03_kuku2,413.16,1060.23,51.29,
ne03_paka,850.35,1787.09,12.41,
ne03_paka1,738.15,1820.41,27.76,
ne03_paka2,743.41,1919.89,9.27,
ne03_peke,548.92,1618.20,16.00,
ne03_peke1,753.53,2471.86,41.69,
ne03_peke2,606.64,2370.64,22.38,
ne03_piki,364.25,2667.43,22.71,
ne03_piki1,379.33,1986.43,44.19,
ne03_piki2,390.49,2140.16,22.74,
ne03_poko,638.47,1120.94,19.10,
ne03_poko1,584.98,1183.91,40.79,
ne03_poko2,593.93,1101.91,42.98,
ne03_puku,724.50,1235.34,36.02,
ne03_puku1,425.94,966.21,49.87,
ne03_puku2,518.96,1024.29,75.41,
ne03_taka,683.61,1497.79,27.97,
ne03_taka1,856.35,1747.38,20.69,
ne03_taka2,541.87,989.10,23.54,
ne03_teke,576.34,1540.71,41.95,
ne03_teke1,572.99,1861.44,37.29,
ne03_teke2,564.82,1676.75,32.47,
ne03_tiki,380.47,2788.15,49.92,
ne03_tiki1,376.87,1544.71,77.76,
ne03_tiki2,409.41,1767.21,33.79,
ne03_toko,618.26,1098.19,37.87,
ne03_toko1,623.63,1196.56,38.71,
ne03_toko2,538.03,1071.24,29.02,
ne03_tuku,445.66,1095.54,44.75,
ne03_tuku1,428.67,1051.05,62.42,
ne03_tuku2,477.42,1123.09,47.93,
